scenario,year,zone,component,enabled,growth_factor,annual_energy_mwh,unit_count,energy_per_unit_kwh_per_year,profile_type,demand_type,source
RE_base,2040,porvenir,base_load,TRUE,1.682187,55312,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RE_base,2040,puerto_williams,base_load,TRUE,1.547039,9850,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RE_base,2050,punta_arenas_centro,base_load,TRUE,1.579726,528679,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
RE_base,2050,puerto_natales,base_load,TRUE,2.499691,149839,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
RE_base,2050,porvenir,base_load,TRUE,2.331529,76663,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
RE_base,2050,puerto_williams,base_load,TRUE,2.067065,13161,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
RH_base,2025,punta_arenas_centro,base_load,TRUE,1,334665,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2025,puerto_natales,base_load,TRUE,1,59943,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2025,porvenir,base_load,TRUE,1,32881,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2025,puerto_williams,base_load,TRUE,1,6367,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2030,punta_arenas_centro,base_load,TRUE,1.104242,369551,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2030,puerto_natales,base_load,TRUE,1.235107,74036,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2030,porvenir,base_load,TRUE,1.206533,39672,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2030,puerto_williams,base_load,TRUE,1.157374,7369,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2040,punta_arenas_centro,base_load,TRUE,1.321692,442324,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2040,puerto_natales,base_load,TRUE,1.765127,105807,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2040,porvenir,base_load,TRUE,1.682187,55312,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2040,puerto_williams,base_load,TRUE,1.547039,9850,,,base_load,electricity,"CNE Preliminary Demand Forecast 2024-2044, Table 6.2"
RH_base,2050,punta_arenas_centro,base_load,TRUE,1.579726,528679,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
RH_base,2050,puerto_natales,base_load,TRUE,2.499691,149839,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
RH_base,2050,porvenir,base_load,TRUE,2.331529,76663,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
RH_base,2050,puerto_williams,base_load,TRUE,2.067065,13161,,,base_load,electricity,Extrapolated from CNE 2044 using the system-specific long-term rate in Table 6.3
